Blastomyces dermatitidis ATCC 26199	447095		Blastomyces dermatitidis	Blastomyces	Ajellomycetaceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blas_derm_ATCC_26199	blasDerm_ATCC26199
Blastomyces dermatitidis ER-3	559297		Blastomyces dermatitidis	Blastomyces	Ajellomycetaceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blas_derm_ER_3	blasDerm_ER_3
Blastomyces gilchristii SLH14081	559298		Blastomyces gilchristii	Blastomyces	Ajellomycetaceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blas_derm_SLH14081	blasDerm_SLH14081
Blumeria graminis f. sp. hordei DH14	546991		Blumeria graminis	Blumeria	Erysiphaceae	Erysiphales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blum_gram_f_hordei_DH14	blumGram_F_SP_HORDEI_DH14
Blumeria graminis f. sp. tritici 94202	1306135		Blumeria graminis	Blumeria	Erysiphaceae	Erysiphales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blum_gram_f_tritici_94202	blumGram_F_SP_TRITICI_94202
Blumeria graminis f. sp. tritici 96224	1268274		Blumeria graminis	Blumeria	Erysiphaceae	Erysiphales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blum_gram_f_tritici_96224	blumGram_F_SP_TRITICI_96224
Blumeria graminis f. sp. tritici JIW2	1306134		Blumeria graminis	Blumeria	Erysiphaceae	Erysiphales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Blum_gram_f_tritici_JIW2	blumGram_F_SP_TRITICI_JIW2
Botryobasidium botryosum FD-172 SS1	930990		Botryobasidium botryosum	Botryobasidium	Botryobasidiaceae	Cantharellales		Agaricomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Botr_botr_FD_172_SS1	botrBotr_FD_172_SS1
Botrytis cinerea B05.10	332648		Botrytis cinerea	Botrytis	Sclerotiniaceae	Helotiales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Botr_cine_B05_10	botrCine_B05_10
Botrytis cinerea B05.10	332648		Botrytis cinerea	Botrytis	Sclerotiniaceae	Helotiales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Botr_cine_B05_10_1	botrCine_B05_10_1
Botrytis cinerea BcDW1	1290391		Botrytis cinerea	Botrytis	Sclerotiniaceae	Helotiales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Botr_cine_BcDW1	botrCine_BCDW1
Botrytis cinerea T4	999810		Botrytis cinerea	Botrytis	Sclerotiniaceae	Helotiales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Botr_cine_T4	botrCine_T4
Botrytis cinerea T4	999810		Botrytis cinerea	Botrytis	Sclerotiniaceae	Helotiales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Botr_cine_T4_1	botrCine_T4_1
Candida albicans 3153A	1182531		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_3153A	candAlbi_3153A
Candida albicans A123	1182537		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A123	candAlbi_A123
Candida albicans A155	1182538		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A155	candAlbi_A155
Candida albicans A20	1182533		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A20	candAlbi_A20
Candida albicans A203	1182540		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A203	candAlbi_A203
Candida albicans A48	1182534		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A48	candAlbi_A48
Candida albicans A67	1182535		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A67	candAlbi_A67
Candida albicans A84	1182539		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A84	candAlbi_A84
Candida albicans A92	1182536		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_A92	candAlbi_A92
Candida albicans CHN1	1182532		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_CHN1	candAlbi_CHN1
Candida albicans Ca529L	1325634		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_Ca529L	candAlbi_CA529L
Candida albicans WO-1	294748		Candida albicans	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_albi_WO_1	candAlbi_WO_1
Candida dubliniensis CD36	573826		Candida dubliniensis	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_dubl_CD36	candDubl_CD36
[Candida] glabrata	5478		[Candida] glabrata	Nakaseomyces	Saccharomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_glab_CBS_138	candGlab_CBS_138
Candida orthopsilosis	273371		Candida orthopsilosis	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_orth_Co_90_125	candOrth_CO_90_125
Candida tropicalis	5482		Candida tropicalis	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_trop_121	candTrop_121
Candida tropicalis MYA-3404	294747		Candida tropicalis	Candida	Debaryomycetaceae	Saccharomycetales		Saccharomycetes	Saccharomycotina	Ascomycota	Dikarya	Fungi	Cand_trop_MYA_3404	candTrop_MYA_3404
Phialophora americana	5601		Phialophora americana	Phialophora	Herpotrichiellaceae	Chaetothyriales	Chaetothyriomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Capr_semi_CBS_27337	caprSemi_CBS_27337
Cerataphis brasiliensis yeast-like symbiont	1202554		Cerataphis brasiliensis yeast-like symbiont							Ascomycota	Dikarya	Fungi	Cera_bras_yeast_like_symbiont	ceraBras_YEAST_LIKE_SYMBIONT
Chaetomium globosum CBS 148.51	306901		Chaetomium globosum	Chaetomium	Chaetomiaceae	Sordariales	Sordariomycetidae	Sordariomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Chae_glob_CBS_148_51	chaeGlob_CBS_148_51
Chaetomium thermophilum var. thermophilum DSM 1495	759272	Chaetomium thermophilum var. thermophilum	Chaetomium thermophilum	Chaetomium	Chaetomiaceae	Sordariales	Sordariomycetidae	Sordariomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Chae_ther_var_thermophilum_DSM_1495	chaeTher_VAR_THERMOPHILUM_DSM1
Cladophialophora bantiana CBS 173.52	1442370		Cladophialophora bantiana	Cladophialophora	Herpotrichiellaceae	Chaetothyriales	Chaetothyriomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Clad_bant_CBS_173_52	cladBant_CBS_173_52
